YEAR,humidity,tavg,tmax,tmin,rainfall,wind
1987,71.51,19.72,34.76,5.47,2.97,2.35
1988,73.89,19.6,33.4,6.12,3.79,2.42
1989,76.31,18.99,34.95,6.22,4.7,2.48
1990,69.21,19.88,35.07,6.98,2.79,2.5
1991,69.87,19.73,33.1,5.87,3.03,2.45
1992,64.55,20.53,34.55,6.4,2.36,2.49
1993,73.08,19.51,35.03,6.08,3.41,2.39
1994,64.87,20.18,35.72,6.35,2.62,2.5
1995,66.58,20.24,35.21,6.02,2.71,2.52
1996,71.33,19.63,34.83,5.65,3.33,2.44
1997,74.2,19.65,35.56,6.74,3.04,2.56
1998,64.16,20.94,34.44,7.53,2.08,2.63
1999,75.77,19.26,34.09,4.95,3.29,2.55
2000,70.65,20.01,33.82,7.71,2.76,2.45
2001,69.51,20.05,34.08,5.55,2.81,2.39
2002,68.43,20.35,34.8,5.81,2.31,2.48
2003,70.57,20.11,34.86,7.18,2.93,2.3
2004,72.67,19.9,34.49,7.28,3.63,2.45
2005,65.98,20.63,35.23,6.91,1.87,2.42
2006,71.83,19.96,35.17,5.38,2.98,2.31
2007,69.81,20.34,35.6,6.98,2.86,2.37
2008,68.07,20.02,35.45,6.16,2.52,2.29
2009,70.98,19.94,34.65,6.84,2.65,2.25
2010,69.72,20.52,35.53,6.66,3.28,2.42
2011,70.74,19.98,36.99,6.19,2.31,2.21
2012,68.86,20.31,35.07,4.97,2.74,2.31
2013,68.41,20.29,35.51,7.41,2.94,2.38
2014,70.53,20.23,36.56,7.02,3.51,2.32
2015,67.98,20.68,36.32,7.41,2.33,2.35
2016,66.43,20.93,35.54,7.94,2.07,2.43
2017,71.7,20.28,37.03,7.83,3.29,2.38
2018,71.05,20.29,35.15,5.41,3.2,2.43
2019,73.52,20.19,35.84,5.67,3.41,2.35
2020,71.56,20.32,35.16,6.76,3.69,2.38
2021,72.2,20.03,35.5,6.84,3.25,2.42
2022,75.12,19.66,34.57,7.01,5.37,2.28
2023,74.17,20.36,35.64,6.61,4.0,2.26
2024,70.23,20.6,34.4,5.97,3.64,2.34
2025,72.29,20.28,34.9,5.95,3.76,2.35
